,tokenized
10643,"['분기', '영업', '익년', '만에', '최대', '투자', '재원', '연', '자금', '으로']"
6512,"['코스피', '내', '린', '장', '종료']"
10326,"['한화', '에어로', '스페이스', '분기', '영업', '이익', '천억원', '작년', '比', '상승']"
10776,"['삼성', '분', '기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
5994,"['코스피', '오른', '개장']"
1422,"['실적', '좋음', '뭐', '해만', '전자', '인데', '삼', '전주', '최저']"
891,"['이틀', '새', '폭락', '넷플릭스', '잠못', '이루는', '서학', '개미']"
8432,"['미', '디폴트', '우려', '일단', '해소', '뉴욕증시', '환호', '나스닥', '상승']"
50,"['분기', '영업', '이익', '조천억원', '작년', '동기', '대비', '상승', '종합']"
7099,"['코스피', '장', '초반', '하락', '출발', '대']"
2499,"['코스피', '내린', '개장']"
1405,"['테슬라', '대항', '마라더니', '올', '해주', '폭락', '종목']"
8045,"['증권', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
7094,"['코스피', '장', '초반', '대', '약', '세기', '관외', '순', '매도']"
5907,"['저', '점', '통과암호', '화폐', '대체', '반등', '증권', '주', '엇갈린', '해석']"
4279,"['코스피', '내', '린', '장', '종료']"
1486,"['코스닥', '내린', '개장']"
10993,"['현', '대', '삼', '호', '중공업', '분기', '영업', '손실', '천억원', '적자', '전환']"
10583,"['맥쿼리인프라', '올해', '상반기', '순이익', '증가', '분배', '금주', '당', '원지', '급']"
404,"['녹십자', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
1701,"['삼', '성', '업종', '내', '가장', '저', '평가', '저', '점', '매수', '무관', '야', '호스', '탁', '상품', '으로']"
4849,"['뉴욕증시', '美', '금리', '급', '등세', '큰', '폭', '하락', '출발']"
5046,"['미', '금리', '상승세', '나스닥', '하락', '다우', '이틀', '연', '속', '사상', '최고']"
703,"['하이닉스', '분기', '영업', '이익', '조천억원', '작년', '대비', '상승']"
292,"['코스닥', '오른', '개장']"
934,"['투자', '증권', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '하락']"
4700,"['코스피', '내린', '개장']"
4917,"['코스닥', '오른', '장', '종료']"
10848,"['투자', '증권', '올해', '순', '익조', '저', '점', '매수', '연', '금리', '로']"
1128,"['코스피', '외국인', '기', '관매도', '공세', '약', '세', '삼', '성', '전자', '신저', '추락']"
5659,"['코스피', '내린', '개장']"
7744,"['에스티', '팜', '분기', '영업', '이익', '억원', '흑자', '전환']"
7654,"['하이닉스', '이어', '삼', '성전', '자', '목표', '상향', '의견', '등장']"
2512,"['곡', '소리', '가득한', '증시', '서', '달', '새', '급등', '하락', '장', '강한수소']"
4295,"['공장화재', '악재', '에도', '반등', '에코', '프로비', '엠', '폭락', '장', '속', '돋보이네']"
5053,"['최소', '개', '월발', '뻗고잔', '무섭게', '오른', '반도체', '올해', '도사', '라는', '월']"
8857,"['꼽', '금리', '상승', '시', '대', '수', '혜주']"
3567,"['셀', '작년', '영업', '이익', '억원', '으로', '증가', '매출', '액', '뛰어']"
3145,"['코스피', '내린', '개장']"
6941,"['코스피', '오른', '장', '종료']"
995,"['인탑스', '진단', '키트', '최대', '실적', '견인', '대비', '무관', '골드', '스탁', '재원', '으로']"
7893,"['녹스', '첨단', '소재', '분', '기', '영업', '이익', '증가']"
9579,"['엔씨소프트', '반', '기기', '대작', '블소', '서비스', '개시', '첫날', '급락', '왜']"
5317,"['넉', '달동', '안', '-', '바사', '억', '원', '공매도', '폭탄']"
10008,"['아', '그때', '팔았어야', '했나', '삼성', '전자', '하이닉스', '연중', '최저', '치', '동학', '개미', '어쩌나']"
2997,"['뉴욕증시', '우', '크라', '우려', '다우', '하락', '마감']"
10905,"['코스피', '오른', '개장']"
9814,"['뉴욕증시', '연', '준', '테이퍼링', '논의', '다우', '하락', '마감']"
3676,"['카카오', '게임', '즈', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
5131,"['기', '대감', '관련', '주', '상승세', '중', '장기', '투자', '연재', '원', '으로']"
5388,"['올해', '코스피', '상', '승률', '중위']"
9895,"['중국', '증시', '경', '기', '추가', '규제', '우려', '속', '급락', '상하이', '하락']"
2541,"['주가', '하락', '으로', '분기', '배당', '주', '매력', '상승', '투자', '무관', '야', '호스', '탁', '자금', '으로']"
3057,"['역대', '최대', '실적', '힘', '입어', '일주일', '새', '주가', '껑충']"
576,"['현', '대미', '포', '조선', '분', '기', '영업', '손실', '억', '원', '적자', '전환']"
2216,"['신세계', '면세점', '수요', '반', '등기', '대비', '중', '확대', '무관', '골드', '스탁', '상품', '으로']"
6654,"['코스피', '외국인', '기관', '동', '반', '매수', '강세', '선', '회복']"
10243,"['뉴욕증시', '긍정', '적', '고용', '혼', '조', '다우', '최고', '마감']"
8767,"['기업', '생산', '성', '경쟁력', '월초', '상승세', '예상', '종목', '총', '정리']"
9766,"['美', '증시', '델타', '변', '테이퍼링', '불안', '다우', '하락']"
6407,"['보', '뉴욕증시', '새', '변', '공포', '올해', '최', '대폭', '급락']"
2600,"['뉴욕증시', '유가', '폭등', '세', '하락', '나스닥', '하락', '마감']"
1150,"['코스피', '미국', '국채', '금리', '상승', '장초', '반', '하락', '세하', '회', '종합']"
2946,"['태양광', '접은전자', '반', '등기', '대감', '솔솔']"
6456,"['코로나', '확진', '자수', '급증', '희', '비교', '차리', '오프닝', '주', '하락', '진단', '키트', '주', '상승']"
2591,"['달', '새', '하락', '화학', '외국인', '기관', '속수무책']"
581,"['현', '대', '오', '일', '뱅크', '분기', '영업', '이익', '천억원', '작년', '대비', '상승']"
1204,"['코스피', '오른', '개장']"
1796,"['코스닥', '오른', '장', '종료']"
3180,"['코스닥', '오른', '장', '종료']"
2398,"['상승세', '탄', '에너지', '株', '월', '아직', '싸다']"
7369,"['스튜디오', '드래곤', '분기', '영업', '익', '억원', '작년', '동기', '대비', '하락']"
10395,"['추세', '반등', '나', '서나', '삼성', '전자', '달', '만에', '만원', '회복']"
4382,"['중국', '판', '나스닥', '창판', '동시', '상', '장종', '수익률', '부진']"
2993,"['엔', '솔', '역대', '급', '덕', '지난달', '발행', '주식', '배', '이상', '급증']"
8659,"['코스피', '오른', '장', '종료']"
11013,"['현', '대', '로템', '분', '기', '영업', '이익', '억원', '작년', '동', '기', '대비', '하락']"
7377,"['카카오', '년', '만에', '네이버', '매출', '넘었다주가', '상승']"
9069,"['자사', '주', '매입', '무용지물', '날개', '없는', '추락', '엔씨', '만원', '붕괴']"
3347,"['코스', '피우', '크라', '전쟁', '우려', '에선', '으로', '뚝']"
2122,"['뉴욕증시', '파월', '연설', '주목', '며', '하락', '세로', '출발']"
4113,"['진짜', '무섭게', '팔', '아대', '엔', '솔', '외국인', '오전', '에만', '조억', '넘게', '매도']"
5128,"['롯데', '렌탈', '분', '기역', '대', '최고', '실적', '대비', '연', '금리', '로']"
9467,"['코스피', '오른', '장', '종료']"
10397,"['분기', '천억원', '흑자', '역대', '최대', '분기', '영업', '이익', '종합']"
9662,"['제일기획', '최대', '실적', '목표', '상승', '비중', '확대', '연', '자금', '으로']"
1566,"['개미', '대거', '매수', '에도', '힘', '못', '쓰는', '삼', '성전', '자', '하이닉스']"
9174,"['코스피', '마녀', '날', '급락', '외국인', '기관', '조순', '매도', '종합']"
2015,"['브렌', '트유', '달러', '재', '돌파', '뉴욕증시', '뒷걸음', '다우', '하락']"
4131,"['대한항공', '분기', '영업', '익사', '상', '최', '대선', '점', '무관', '야', '호스', '탁', '자금', '으로']"
8164,"['코스닥', '오른', '개장']"
3594,"['아프리카', '작년', '영업', '이익', '억', '원전', '년', '대비', '상승']"
7715,"['롯데', '칠', '성', '분기', '영업', '이익', '상승', '제로', '탄산음료', '견인', '종합']"
8069,"['누리', '호', '발사', '기', '대감', '한화', '에어로', '스페이스', '등', '관련', '주', '상승세']"
9650,"['텐센트', '등', '중국', '기술', '주', '큰', '폭', '반등', '항셍', '테크', '급등']"
4340,"['역대', '급', '수주', '에도', '저', '평가', '조선', '株', '성', '장주', '로', '진화', '중']"
3777,"['가격', '인상', '효과', '웃는', '식품', '주제', '당', '풀무원', '샘표', '등', '상승']"
8808,"['中', '헝', '충격', '방어', '주로', '떠오르는', '바이오', '연휴', '이후', '상', '승기', '대감']"
301,"['작년', '신용등급', '하락', '기업', '곳', '상승', '보다', '많아']"
3547,"['휴', '켐스', '작년', '영업', '이익', '억', '원전', '년', '대비', '하락']"
6245,"['선수', '주', '신기록', '조선', '주', '상승세']"
6695,"['코스닥', '오른', '장', '종료']"
10043,"['월', '-', '일', '일', '평균', '수출', '상승', '수출', '주', '투자', '연', '금리', '로']"
382,"['분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '하락', '종합']"
8691,"['미국', '채', '금리', '상승', '코스피', '이틀', '째', '대', '약', '세', '원화', '채권', '반등', '종합']"
8233,"['코스피', '오른', '장', '종료']"
1287,"['코스피', '내린', '개장']"
5672,"['신', '사업', '올', '상승']"
10081,"['넷마블', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
9537,"['뉴욕증시', '파월', '발언', '앞두고', '상승', '출발']"
2352,"['공매도', '폭탄', '엔', '솔', '시', '총', '위도', '아슬아슬']"
3315,"['코스피', '오른', '개장']"
3973,"['잠못', '드는', '개미', '서학', '개미', '순', '매', '수', '상위', '개', '종목', '수익률', '-']"
3675,"['피', '엔', '에이치', '테크', '핵심', '소재', '신규', '소재', '확대', '기대', '목표', '만원']"
1121,"['삼전', '만', '죽', '쓰는게', '아니었네', '깜짝', '실적', '에도', '주가', '급락']"
8906,"['뉴욕증시', '중국', '發', '우려', '경계', '하락', '출발']"
8787,"['코스피', '내린', '개장']"
1019,"['테슬라', '주', '가년', '내', '배', '로', '오른다', '희망', '회로', '근거']"
4311,"['하이트진로', '올', '영업', '익', '상승', '중', '장기', '투자', '무관', '골드', '스탁', '자금', '으로']"
10001,"['한국', '사이버', '결제', '분', '기', '영업', '이익', '억원', '작년', '대비', '상승']"
2562,"['나', '홀로', '버티는', '대한항공', '美', '항공', '주비', '해주', '선방']"
1770,"['코로나', '속', '작년', '자산운용', '사', '역대', '최대', '순', '익', '상승']"
7060,"['고맙다오리지', '널', '의약품', '중', '외', '제약', '분기', '매출', '억원', '분기', '최', '대전', '년', '比', '상승']"
9618,"['코스피', '상승', '마감', '대']"
5892,"['외국인', '반도체', '株', '집중', '매수', '비중', '확대', '연재', '원', '으로']"
1583,"['코스닥', '내린', '개장']"
7322,"['사업', '진출', '-', '분기', '최대', '실적', '하이브', '목표', '가줄', '상향']"
3886,"['코스닥', '내린', '개장']"
366,"['에코', '프로비', '엠', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
526,"['뉴욕증시', '기업', '실적', '호조', '상승', '나스닥', '상승', '마감']"
2386,"['뉴욕증시', '경계', '혼', '조', '나스닥', '하락']"
4703,"['뉴욕증시', '금리', '인상', '우려', '기술', '주', '부진', '하락', '나스닥', '하락', '마감']"
7319,"['유플러스', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
2762,"['메타', '버스', '본격', '진출', '큐브', '엔', '터', '역대', '최고', '매출', '달성', '전', '년', '대비', '매출', '약', '상승']"
2048,"['이노', '텍', '주주', '배당', '금년', '새', '배', '상승', '배당', '성향', '이상', '유지', '할것']"
9928,"['美', '증시', '아프간', '리스크', '에도', '상승', '다우', '상승']"
3284,"['증시', '우', '크라', '긴장', '완화', '안도', '하락', '가능성', '열어', '놔야', '종합']"
619,"['대기업', '사외이사', '보수', '년', '전보', '상승', '작년', '평균', '천만원']"
3875,"['삼', '성', '카드', '실적', '배당', '매력', '상승', '투자', '무관', '골드', '스탁', '자금', '으로']"
11023,"['美', '증시', '반', '발매', '수', '세', '유입', '반등', '다우', '상승']"
6890,"['투자', '셀트리온', '헬', '스케', '어', '실적', '부진', '목표', '하향']"
7189,"['소프트뱅크', '그룹', '올', '월', '순', '익', '하락', '조', '엔', '규모', '자', '사', '주', '매입', '종합']"
6917,"['뉴욕증시', '인플레', '우려', '에도', '소', '폭', '상승', '출발']"
2681,"['긴축', '우려', '우', '크라', '원', '전', '화재', '코스피', '대', '하락', '대', '후퇴', '종합']"
475,"['호텔', '신라', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
3432,"['농심', '격인', '상', '효', '과기대', '투자', '무관', '골드', '스탁', '재원', '으로']"
4319,"['코스피', '소', '폭', '하락', '출발', '대']"
10600,"['분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
10691,"['중국', '홍콩', '증시', '공황', '매도', '일단', '주춤', '상하이', '약', '보합', '마감']"
5557,"['오미크론', '공포', '확산', '뉴욕증시', '국제', '유가', '동', '반', '하락']"
78,"['분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
8060,"['포스코', '케미칼', '분기', '영업', '익', '상승', '매출', '역대', '최대', '종합']"
7359,"['한미', '사이언스', '분기', '영업', '이익', '억원', '흑자', '전환']"
4648,"['유가', '상승', '원', '유수', '요', '회복', '정유', '株', '기', '대감', '만발']"
5169,"['월', '비트코인', '폭락', '에도', '가상', '화폐', '는가', '즈', '아']"
6198,"['코스닥', '오른', '장', '종료']"
4996,"['뉴욕증시', '민간', '고용', '지표', '호조', '속', '하락', '출발']"
2174,"['코스피', '오른', '개장']"
2340,"['서진', '시스템', '사업', '다각', '화', '로', '실적', '상승', '투자', '무관', '골드', '스탁', '자금', '으로']"
937,"['솔', '루스', '첨단', '소재', '분기', '영업', '손실', '억원', '매출', '역대', '최대']"
2206,"['상장', '사는주가에', '상승', '요인', '한국', '거래소', '분석']"
10077,"['오리온', '분기', '영업', '이익', '락원', '자', '잿값', '상승', '영향', '종합']"
4116,"['삼', '성', '작년', '영업', '이익', '천', '억', '원전', '년', '대비', '하락', '종합']"
48,"['코스닥', '내', '린', '장', '종료']"
1366,"['르노', '코리아', '차지', '난해', '영업', '손실', '억', '원전', '년', '보다', '적자', '폭', '급감']"
5246,"['코스피', '코스닥', '공', '모', '금사', '상', '최대', '기록']"
4395,"['끝날', '때', '까지', '끝난게', '아니다', '화학', '목표', '주가', '하향']"
8665,"['국내', '첫', '탄소배출권', '종', '상장', '후대', '상승']"
3146,"['코스닥', '내린', '개장']"
6201,"['이런디', '커플링', '환영', '미', '증시', '하락', '에도', '국내', '증시', '상승세']"
746,"['한국', '국채', '세계', '국채', '수', '편입', '되면', '내외', '금리', '하락', '효과']"
9403,"['뉴욕증시', '민간', '고용', '부진', '혼', '조', '나스닥', '최고', '마감']"
1835,"['유가', '오르', '자신', '재생', '각광', '원유', '친환경', '동반', '상승']"
9518,"['코스닥', '오른', '개장']"
9329,"['코스닥', '으로', '갈아탈까', '상', '승률', '개', '월', '연', '속', '코스피', '앞서']"
10164,"['카뱅', '상장', '거래', '일만', '하락', '전환', '차익', '실현', '영향']"
7429,"['케미칼', '분기', '연속', '최대', '실적', '화학', '백', '신', '사업', '호실', '적', '종합']"
4881,"['작', '년월', '외국인', '국내', '주식', '조', '순', '매', '수', '보유', '규모', '조억원']"
3802,"['희림', '에이치', '원', '손잡고', '대구', '최대', '규모', '아파트', '리', '모델링', '사업', '수주']"
2702,"['코스피', '미국', '긴축', '우려', '하락', '출발', '대', '후퇴', '종합']"
1814,"['증권', '현대차', '판매', '예상', '보다', '부진', '목표', '만원', '으로', '하향']"
7087,"['텔레콤', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
7125,"['미국증시', '훨훨', '나는데', '부진한', '코스피', '왜']"
877,"['우리금융', '지주', '분기', '영업', '이익', '조천억원', '작년', '대비', '상승']"
7793,"['코스피', '내', '린', '장', '종료']"
322,"['티케', '이지', '휴', '켐스', '분기', '영업', '이익', '억원', '작년', '대비', '상승']"
3391,"['제일제당', '지난', '해사', '상', '최대', '실적', '영업', '익조', '억', '전', '년', '비상', '승']"
7467,"['카카오', '게임', '즈', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
572,"['인터', '분기', '영업', '이익', '천억원', '매출', '조천억원', '사상', '최대', '종합']"
3731,"['작년', '영업', '이익', '천억원', '흑자', '전환']"
3285,"['우크라이나', '긴장', '완화', '코스피', '반등', '코스닥', '이상', '뛰어', '종합']"
8042,"['증권', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승', '종합']"
6466,"['코스피', '내', '린', '장', '종료']"
3741,"['한섬', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
3858,"['메타', '폭락', '쇼크', '에도', '급락', '시장', '아마존', '발훈', '풍기대']"
9092,"['개미', '비명', '린다', '카카오', '형', '제', '시', '총', '조', '증발']"
10003,"['더블유', '게임', '즈', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '하락']"
2468,"['점', '대비', '-', '대선', '끝나자', '후보', '테마주', '줄줄이', '폭락']"
9672,"['코스닥', '오른', '개장']"
68,"['분기', '영업', '익', '천억원', '작년', '동기', '대비', '상승', '종합']"
10800,"['코스피', '장', '초반', '상', '승선', '근접', '외국인', '순', '매', '수', '세', '종합']"
8793,"['외국인', '일', '연', '속', '코스피', '순', '매수']"
3817,"['코스닥', '오른', '개장']"
3015,"['코스피', '오른', '장', '종료']"
3718,"['증권', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
6831,"['제', '일', '은행', '분기', '당기', '순이익', '억원', '천', '상승']"
710,"['목표', '상향', '실적', '질주', '한현', '대차기아주가', '깜짝', '반등']"
9763,"['코스피', '오른', '개장']"
3090,"['현', '대', '모비스', '주가', '부양', '의지', '재', '확인', '저', '점', '매수', '무관', '야', '호스', '탁', '상품', '으로']"
6701,"['상폐', '벼랑', '몰린', '만년', '적', '자회사', '곳', '분', '기', '성적표']"
1540,"['코스닥', '오른', '개장']"
2812,"['코스닥', '내린', '개장']"
7291,"['년', '만에', '분기', '최대', '실적', '사상', '첫', '연', '간조', '원', '이익', '종합', '보']"
5421,"['역대', '최고', '갱신', '산타', '배신', '없었다']"
9657,"['코스피', '오른', '장', '종료']"
4938,"['삼', '성', '전자', '작년', '연간', '매출', '조', '원', '사상', '최', '대치', '기록', '종합']"
472,"['파트론', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
4537,"['미국증시', '하락', '코스피', '장', '초반', '하락', '세대', '종합']"
5180,"['내년', '코스피', '최대', '까지', '오를것', '주목', '해야', '할', '변수']"
2481,"['코스피', '내', '린', '장', '종료']"
10004,"['美', '증시', '고용', '지표', '개선', '상승', '마감', '다우', '상승']"
1201,"['콘텐츠', '플랫폼', '리디', '지난해', '매출', '천억원', '사상', '최대']"
8280,"['외화', '증권', '보관', '금액', '억', '달러', '최대', '거래', '줄어']"
5554,"['달', '만에', '폭락', '테슬라', '위기', '쳐', '한일', '런', '머스크', '추', '동', '훈', '월스트리트', '뷰']"
3932,"['디딤', '간편식', '온라인', '월', '매', '출사', '상', '최대', '억원', '돌파']"
10438,"['일', '뒤', '상장', '카뱅', '대', '어', '약', '발다', '했나주', '가추', '상승', '어렵다']"
2881,"['코스피', '내린', '개장']"
4179,"['투자', '證', '작년', '순', '익', '억', '사상', '최대']"
6851,"['바이오', '센서', '영업', '익', '천억', '원전', '년', '동기', '보다', '감소']"
5644,"['코스피', '오른', '장', '종료']"
3621,"['두산', '밥캣', '작년', '영업', '이익', '천억원', '상승', '사상', '최대', '실적']"
7465,"['코스닥', '오른', '개장']"
182,"['뉴욕증시', '월', '고용', '보고서', '하락', '출발']"
10659,"['코스피', '장', '초반', '상승세', '선', '근접', '종합']"
480,"['샘', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
3045,"['부광약품', '최대', '주주', '로', '제약', '바이오', '신', '사업', '본격', '화']"
10478,"['코스닥', '오른', '장', '종료']"
2580,"['네이버', '영업', '이익', '증가', '율', '상승', '대비', '무관', '골드', '스탁', '상품', '으로']"
5024,"['올', '해사', '상', '최대', '실적', '예', '상투', '자선', '점', '연재', '원', '으로']"
82,"['코스피', '내린', '개장']"
2868,"['美', '야간', '선물', '대', '하락', '아시아', '증시', '보합', '권']"
1292,"['美', '증시', '中', '둔화', '우려', '하락', '나스닥', '하락']"
6948,"['교촌', '에프', '앤', '비분', '기', '영업', '이익', '억', '원증']"
3707,"['현', '대', '홈쇼핑', '작년', '영업', '이익', '천억원', '전', '년', '대비', '하락']"
3752,"['바이오', '팜', '지난해', '매출', '천억원', '돌파', '창사', '이래', '최대', '종합']"
3791,"['전면', '재개', '초읽기', '들어간', '공매도', '개미', '벌써', '부터', '무섭다']"
4273,"['떨어질만큼', '떨어졌다', '등락', '하던', '현산', '이틀', '째', '상승']"
4879,"['생활', '건강', '분', '기어', '닝', '쇼크', '우려', '주', '최저', '목표', '가줄', '하향', '종합']"
1270,"['코스피', '내', '린', '장', '종료']"
10359,"['하반기', '실적', '더', '좋다', '쌍용', '목표', '상향']"
7202,"['남부', '발전', '올해', '채권', '천억', '발행', '역대', '최대']"
9577,"['엔씨소프트', '폭락', '펄', '어비스', '하루', '폭등', '왜']"
7765,"['뉴욕증시', '기업', '실적', '차익', '실현', '다우', '하락']"
6373,"['한국', '투자', '증권', '분', '기사', '상', '최대', '실적', '선점', '연', '자금', '으로']"
515,"['하이', '투자', '삼', '성전', '자', '저', '점', '매수', '가능', '가격', '대', '진입', '바닥', '만원']"
4914,"['삼', '성', '전자', '호실', '적', '외국인', '사자', '코스피', '대', '반등', '종합']"
7103,"['컴투스', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
9071,"['플랫폼', '규제', '우려', '카카오', '그룹', '시', '총', '하루', '만에', '조', '또', '증발']"
3644,"['신한은행', '작년', '영업', '이익', '조천억원', '전', '년', '대비', '상승']"
10930,"['포스코', '분기', '영업', '손실', '억원', '적자', '전환']"
7752,"['화생', '명', '분기', '영업', '익', '천억원', '작년', '동기', '대비', '상승']"
3616,"['해외', '주식', '포커스', '홈', '트레이닝', '기업', '펠로톤', '사흘', '새', '반등']"
9629,"['차전지소', '재주', '고공', '행진', '투자', '연', '업계', '최저', '금리', '로']"
1388,"['코스닥', '오른', '개장']"
7861,"['대', '유화', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
592,"['고려아연', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
5107,"['임인년', '첫', '거래', '일', '코스피', '상승', '마감']"
6150,"['코스피', '오른', '장', '종료']"
7728,"['오', '스템', '임플란트', '분기', '영업', '이익', '억원', '작년', '대비', '상승']"
9955,"['뉴욕증시', '기업', '실적', '호조', '속', '상승', '출발']"
2288,"['코스피', '장', '초반', '대', '상승', '대', '회복']"
7236,"['에코', '프로비', '엠', '목표', '줄줄이', '상향', '투자', '연재', '원', '으로']"
5819,"['코스닥', '내', '린', '장', '종료']"
10733,"['코스피', '내린', '개장']"
4796,"['코스피', '오른', '개장']"
9194,"['존리', '주식', '매', '수', '최고', '타이밍', '바로', '때', '평범한', '사람', '이부자', '되는', '방법']"
8709,"['포스코', '분기도', '역대', '최고', '실적', '투자', '연', '자금', '으로']"
7507,"['삼성', '분', '기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
3301,"['유세', '차량', '사고', '로', '동지', '잃은', '안철수', '관련', '주는', '상승']"
867,"['금융', '분기', '영업', '이익', '조천억원', '작년', '동기', '대비', '상승']"
9815,"['뉴욕증시', '-', '보', '연', '준', '올해', '테이퍼링', '기대', '하락']"
4004,"['깜짝', '실적', '똑같은데', '애플', '주가', '급등', '테슬라', '폭락']"
5605,"['금융투자', '롯데', '하이마트', '목표', '하향', '전', '수요', '부진']"
4991,"['코스닥', '내린', '개장']"
6575,"['코스닥', '내린', '개장']"
6884,"['코스피', '상승', '출발', '장', '중선', '회복']"
4463,"['코스닥', '오른', '장', '종료']"
9253,"['코스피', '하락', '마감', '외국인', '기관', '순', '매도', '종합']"
7601,"['뉴욕증시', '주요', '기업', '실적', '실망', '에도', '상승', '대', '수', '최고', '마감']"
8073,"['보', '네이버', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
2119,"['뉴욕증시', '파월', '발언', '하락', '나스닥', '하락']"
8938,"['소재', '주다시', '꿈틀', '저', '점', '매수', '연', '자금', '으로']"
10818,"['제일기획', '분기', '영업', '익', '억', '디지털', '광고', '덕', '최대', '실적']"
6637,"['암흑', '기', '드디어', '끝난다', '월', '보잉', '목표', '주가', '일제', '히', '상향']"
6945,"['솔', '루스', '첨단', '소재', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
7132,"['코스피', '강보', '합마', '감개', '외국인', '순', '매도', '종합']"
1232,"['올해', '분기', '국내', '주식시장', '시', '총', '조', '원', '가까이', '증발']"
9770,"['잘', '팔았다', '좋아했더니', '카뱅', '일만', '상승', '현대', '차시', '총', '천억', '추격']"
5842,"['코스피', '오른', '개장']"
3977,"['美', '증시', '월', '마지막', '거래', '일상', '승', '나스닥', '상승']"
7065,"['휴', '젤', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
2114,"['하이닉스', '하반기', '실적', '개선', '가능성', '상승', '투자', '무관', '골드', '스탁', '자금', '으로']"
969,"['美', '증시', '넷플릭스', '폭락', '속', '혼', '조', '나스닥', '하락']"
5141,"['조선업', '역대', '급', '수주', '에선', '상승', '까지', '주가', '순항', '예감']"
2625,"['코스닥', '내', '린', '장', '종료']"
